"filename", "language", "TypeScript", "JavaScript", "JSON", "JSON with Comments", "XML", "TypeScript JSX", "YAML", "Ignore", "Markdown", "GraphQL", "comment", "blank", "total"
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.eslintrc.json", "JSON with Comments", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/devices.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/assert/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/async_hooks/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/buffer/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/child_process/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/cluster/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/console/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/constants/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/crypto/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/dgram/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/diagnostics_channel/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/dns/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/domain/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/events/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/fs/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/fs/promises/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/http/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/http2/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/https/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/inspector/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/module/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/net/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/os/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/path/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/perf_hooks/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/process/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/punycode/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/querystring/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/readline/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/repl/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/stream/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/string_decoder/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/timers/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/tls/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/trace_events/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/tty/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/url/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/util/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/v8/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/vm/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/worker_threads/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/externals/zlib/index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/polyfill.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/metro/polyfill.native.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.expo/types/router.d.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 25, 194
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.github/workflows/update.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 9, 48
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.prettierrc", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/.stylelintrc.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/__tests__/screens/credentials/birthday/Birthday.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/__tests__/screens/credentials/getstarted/GetStarted.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/__tests__/util/hooks/useCounter.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/apollo.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/apollo.config.sub.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 18
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app.config.ts", "TypeScript", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 1, 425
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 3, 92
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/conversation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/explore/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 1, 3, 79
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/explore/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 4, 4, 89
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/explore/searchresults.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 6, 59
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/explore/searchtext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 268, 0, 0, 0, 0, 5, 11, 284
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/friendslist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 2, 2, 61
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 3, 5, 178
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/developmentstack/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 3, 83
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/developmentstack/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 467, 0, 0, 0, 0, 30, 35, 532
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/developmentstack/permissionmodals.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 2, 93
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/developmentstack/preferences.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 3, 174
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/developmentstack/theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 3, 12, 268
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/messagestack/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/messagestack/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 64, 9, 100
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/profilestack/UserProfileScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 19, 9, 90
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/profilestack/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 6, 4, 114
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/tonight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 5, 102
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/hometab/venuefeed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 410, 0, 0, 0, 0, 2, 16, 428
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/modal/CameraQR.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 8, 81
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/modal/DeviceManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 1, 7, 131
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/modal/Emojimood.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 12, 5, 144
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/modal/MediaLibrary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 8, 81
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/modal/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 7, 136
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/newconversation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 339, 0, 0, 0, 0, 12, 24, 375
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/backgroundlocation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 1, 10, 240
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/camera.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 3, 10, 241
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/contacts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 1, 12, 266
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/foregroundlocation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 1, 11, 242
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/medialibrary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 10, 203
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/microphone.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 1, 10, 239
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/networkinformation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 1, 20, 327
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/permission/notifications.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 1, 20, 389
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/public/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 2, 3, 208
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/public/contacts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 45, 13, 261
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/public/personal/[profileid].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 2, 15, 271
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/public/personal/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/public/venue/[profileid].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 3, 11, 289
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/public/venue/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 2, 20
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/searcharea/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 1, 8, 146
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/searcharea/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 1, 10, 243
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/searcharea/searchcountry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 14, 208
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/searcharea/searchcountrystate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 15, 213
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/searcharea/searchh3recommendation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 6, 67
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/searcharea/searchstatecities.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 1, 17, 318
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/appearancesettingsscreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 4, 85
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 7, 8, 272
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/notificationssettingsscreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/profilesettings/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/profilesettings/personal/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/profilesettings/personal/birthday.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 1, 9, 178
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/profilesettings/personal/currenttown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/profilesettings/personal/description.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 3, 9, 175
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/profilesettings/personal/fullname.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 9, 296
"/Users/christianfirmi/Desktop/4/Github/bfs/revel/app/(app)/settings/profilesettings/personal/gender.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 211, 0, 0, 0, 0, 1, 9, 221
